;Junho de 2025;Maio de 2025;Abril de 2025;Março de 2025;Fevereiro de 2025;Janeiro de 2025;Dezembro de 2024;Novembro de 2024;Outubro de 2024;Setembro de 2024;Agosto de 2024;Julho de 2024;Junho de 2024;Maio de 2024;Abril de 2024;Março de 2024;Fevereiro de 2024;Janeiro de 2024;Dezembro de 2023;Novembro de 2023;Outubro de 2023;Setembro de 2023;Agosto de 2023;Julho de 2023;Junho de 2023;Maio de 2023;Abril de 2023;Março de 2023;Fevereiro de 2023;Janeiro de 2023;Dezembro de 2022;Novembro de 2022;Outubro de 2022;Setembro de 2022;Agosto de 2022;Julho de 2022;Junho de 2022;Maio de 2022;Abril de 2022;Março de 2022;Fevereiro de 2022;Janeiro de 2022
11: Norte;1388123;1429144;1282414;990986;751274;672920;840470;954270;1319779;1480273;1857934;1502696;1301539;1343584;1126950;995542;749648;631211;820410;809076;1259788;1418077;1732291;1429710;1222633;1230630;1190754;857634;690781;600832;739346;739381;1127059;1245424;1641848;1340013;1110295;1069023;1007139;664922;525143;347052
19: Centro;454706;461559;444209;362124;289791;279254;335782;358971;433344;519679;772928;539190;444805;441230;382340;371225;299112;264185;338832;290132;405617;491913;731498;536406;417683;407871;419235;300062;292202;255478;297973;279577;387466;456063;726090;537193;414330;375656;388622;271186;246366;195915
1D: Oeste e Vale do Tejo;327992;336139;290596;228254;153649;134632;175435;236820;342102;379433;497513;378910;321789;334189;288691;241159;167143;130315;180975;213122;339304;377213;490541;380469;310430;296610;290927;187545;143259;109160;147713;178547;290009;322356;452366;343827;269248;237729;229885;135008;99906;64366
1A: Grande Lisboa;1768830;1877115;1741542;1553331;1170391;1076678;1196172;1442320;1848057;1864613;2023569;1878570;1765819;1884149;1681907;1604751;1238902;1015212;1172868;1376947;1811269;1830789;1930094;1806183;1684904;1783368;1679812;1474917;1155917;1055139;1114189;1317996;1688346;1729637;1907831;1795053;1617906;1589126;1485917;1131610;791282;499228
1B: Península de Setúbal;161212;153636;136223;116315;88171;76058;83454;99938;141970;162694;210837;180705;152776;148503;124663;112141;82139;67013;81081;84646;135917;157173;197934;172544;140339;131621;129613;101881;75012;68509;72317;81329;123862;141840;185866;168320;134930;114621;109796;75649;60306;46742
1C: Alentejo;354024;310291;279945;197922;148543;128749;159306;195274;271580;359896;527815;389997;321698;299333;249260;208538;155369;116085;158764;170012;284728;352768;491748;384490;303224;255776;280033;174004;155131;113861;133545;144763;246817;316256;469561;356898;292686;239451;231792;153039;132537;88351
15: Algarve;2379032;2018964;1841359;1138922;774754;570502;629549;846667;2086169;2426592;3223008;2838510;2327768;2076391;1666842;1251876;818080;563350;614357;820518;2071317;2402161;3181862;2805543;2239992;1968201;1834975;1092606;782376;546804;550489;750505;1907121;2349110;3228888;2861164;2233405;1862959;1622076;866401;586772;343900
20: Região Autónoma dos Açores;345678;318234;270825;192685;125431;99768;96101;153609;274234;364835;444043;402681;334133;300544;236424;181626;118865;89181;94169;132406;246951;331583;408383;374855;310493;255567;224318;164943;105640;93044;98854;124001;236420;297011;369542;347363;285461;231204;189483;134827;83594;60271
30: Região Autónoma da Madeira;903695;899263;843616;783142;671775;630989;635217;727282;852994;884763;980656;938355;858298;861570;784874;763650;649912;576740;583635;677429;829136;876902;982207;926285;827025;814937;787942;731700;615367;591405;573340;635918;782971;833578;977217;916058;822591;779420;735252;579890;396171;348127
