;Maio de 2025;Abril de 2025;Março de 2025;Fevereiro de 2025;Janeiro de 2025;Dezembro de 2024;Novembro de 2024;Outubro de 2024;Setembro de 2024;Agosto de 2024;Julho de 2024;Junho de 2024;Maio de 2024;Abril de 2024;Março de 2024;Fevereiro de 2024;Janeiro de 2024;Dezembro de 2023;Novembro de 2023;Outubro de 2023;Setembro de 2023;Agosto de 2023;Julho de 2023;Junho de 2023;Maio de 2023;Abril de 2023;Março de 2023;Fevereiro de 2023;Janeiro de 2023;Dezembro de 2022;Novembro de 2022;Outubro de 2022;Setembro de 2022;Agosto de 2022;Julho de 2022;Junho de 2022;Maio de 2022;Abril de 2022;Março de 2022;Fevereiro de 2022;Janeiro de 2022
;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º 
11A1308: Matosinhos;59374;54315;36941;33889;33015;37642;45214;60548;62343;73094;63555;57923;60814;50715;45225;36279;32600;36613;42851;54020;59542;68351;59355;55789;54745;52191;46159;33574;33173;38854;39769;53426;56120;65249;59853;51652;53827;48737;33150;27552;20558
11A0113: Oliveira de Azeméis;4126;3578;2434;? ?;? ?;? ?;2671;3210;2800;5188;3690;3256;3702;2804;2537;? ?;? ?;2666;2322;3199;4361;5435;4140;3626;? ?;? ?;2429;2791;2148;2948;? ?;? ?;3632;6243;4533;3384;3011;3425;1894;1954;1275
11A1310: Paredes;6116;6739;5076;4426;3658;4367;5272;7396;7400;8632;7174;7632;6715;6548;5943;4173;3189;4433;4725;6775;7653;7862;6457;7569;6696;4761;3722;2644;2323;1894;4195;5420;4979;6260;5334;5070;4964;4711;4028;2280;2435
11A1312: Porto;654987;594608;483585;359042;316040;368666;448133;622933;637349;701963;622221;576214;621112;533510;487228;356819;299926;352286;384194;595891;626068;656969;573895;541758;571474;536004;423009;323711;284247;322861;341948;507945;526988;597001;531700;464101;464179;430589;298131;208755;124970
11A1313: Póvoa de Varzim;31008;25757;19045;13990;8705;12418;14212;25241;32953;42587;35923;28235;28370;23271;19109;13625;10536;12954;11572;25112;32213;43534;36338;30237;29977;27371;18915;12737;8926;12077;13353;24943;29751;40833;34736;28001;28405;21718;12439;10160;6412
11A0109: Santa Maria da Feira;11841;9594;7191;7190;7197;9206;8822;10274;11279;14698;12464;11136;11678;10893;9190;8002;7611;10969;8919;11299;12346;13829;13046;10889;11542;11526;8607;8204;7135;9289;8205;10206;10684;14173;11260;9050;8898;10198;7200;6446;5783
11A1314: Santo Tirso;7899;7304;6618;5960;5407;6060;6708;8060;8692;9921;8944;7874;8821;6368;6959;6139;6019;6266;6356;7150;7837;9207;8302;7532;8426;7173;7830;6144;6871;6461;7044;8165;7995;10842;6204;4329;4602;4470;4145;3498;3401
11A0116: São João da Madeira;? ?;? ?;2533;3094;3253;3503;3374;4309;4506;5182;4356;4038;4527;? ?;? ?;2663;2509;3397;2781;3880;4693;5487;4780;4683;4474;4133;2510;2585;2471;? ?;3115;4319;4143;5693;? ?;4519;4321;4414;3042;2728;2059
11A1318: Trofa;? ?;? ?;? ?;? ?;? ?;? ?;2249;1446;2138;2004;1948;1777;1491;? ?;? ?;? ?;? ?;675;846;1291;1722;1977;1519;1499;? ?;? ?;1280;1131;1196;? ?;? ?;? ?;1174;1502;? ?;1039;1456;1386;1287;1162;737
11A0119: Vale de Cambra;1076;1118;? ?;459;546;609;533;690;1244;2959;1892;1409;1382;915;1074;763;557;1076;674;1035;1292;2640;2083;1297;1286;1281;633;402;331;828;371;674;1299;2270;1688;984;900;950;354;341;235
11A1315: Valongo;8780;7792;7097;6535;6014;7020;6367;8013;8619;10564;8102;8350;8900;7479;8036;6654;6435;7717;7333;9138;9282;11188;8608;9116;8824;9232;8328;6630;6850;8164;6577;10215;9997;11669;10353;8816;8192;8523;6896;7554;6613
11A1316: Vila do Conde;13841;11893;8391;7008;6399;8294;8232;13149;14449;17806;10649;12463;13503;10831;9888;5640;4838;7102;6232;10072;8898;10728;9495;8033;8377;7607;4933;3885;3630;4359;3916;6806;7847;11387;9117;7178;6553;6283;3829;3337;2700
11A1317: Vila Nova de Gaia;113843;100464;76632;59339;55570;70743;76438;109321;117099;137556;117846;94132;93750;79178;73627;55012;47624;61893;61618;92088;102005;121418;103570;88660;89851;83527;59615;50477;47613;56559;57190;83850;87418;110491;99727;82393;80913;75573;48979;39134;27758
11B: Alto Tâmega e Barroso;30250;31460;23943;19000;16925;20095;21925;26907;36648;57845;37628;31327;26643;23833;20364;19282;15230;21327;17799;28983;33712;52180;34636;27162;22619;29871;16862;18659;14370;19716;15331;27806;31685;50747;32387;26025;22613;26163;14023;15402;11186
11B1702: Boticas;1460;1559;1244;1062;1365;1337;1232;1048;1572;2647;1288;1010;790;911;1061;876;717;1131;691;1039;1420;2493;1307;? ?;1036;1519;? ?;? ?;? ?;? ?;443;1231;1540;2964;1404;1051;? ?;1403;? ?;? ?;? ?
11B1703: Chaves;19470;20212;15249;11637;9005;13646;13832;18265;24720;35253;24674;19909;17476;15009;12706;12104;9556;13370;11305;19611;22607;32214;22728;17584;15265;19688;10620;12519;9305;13122;10719;19996;23035;32764;22370;17058;14845;16313;8721;10026;7250
11B1706: Montalegre;1880;1562;1479;1082;1285;1672;1311;1040;2265;5871;2989;1837;1715;915;1023;696;831;1001;784;1915;2549;5381;2723;1707;1024;1243;634;844;837;1196;701;1450;1414;3619;1766;1433;1457;1959;891;855;379
11B1709: Ribeira de Pena;3823;4276;2837;2465;2636;1502;2912;3426;4154;6550;4651;5031;3843;4292;2995;? ?;2168;2813;2405;3489;3667;5960;4648;4312;3122;4684;2552;2286;1721;2397;1866;2825;3101;6067;3669;3957;2906;3947;1852;2084;1674
11B1712: Valpaços;1134;1283;574;684;876;558;570;450;1097;1987;1105;577;556;658;627;? ?;353;477;565;649;1022;1841;655;? ?;475;312;? ?;? ?;? ?;? ?;288;630;639;1585;638;660;? ?;651;? ?;? ?;? ?
11B1713: Vila Pouca de Aguiar;2483;2568;2560;2070;1758;1380;2068;2678;2840;5537;2921;2963;2263;2048;1952;2149;1605;2535;2049;2280;2447;4291;2575;1958;1697;2425;1742;1598;1209;1315;1314;1674;1956;3748;2540;1866;1605;1890;1205;920;1117
11C: Tâmega e Sousa;49849;42920;29676;21041;19184;25995;30043;39005;48748;84316;59908;46402;44872;35364;30505;23917;19843;27619;23405;39068;48576;77320;57246;39354;36389;37205;21712;20692;18189;25580;21149;39149;47410;78005;57383;42499;37037;35296;22147;20349;17274
11C1301: Amarante;9388;7634;5065;3237;3249;4530;5425;6730;9012;14468;11489;8640;8042;6175;5363;3732;3575;4865;4241;6967;9258;13436;10469;7278;6698;7703;3825;3528;2889;4613;4075;6516;7969;13364;10247;7478;6921;6687;4981;3906;2890
11C1302: Baião;9103;8054;5216;3132;3326;3433;3602;6396;7705;12808;8551;7035;7195;4763;3547;3122;2334;3677;2627;6302;8093;12444;8973;6746;5576;5670;2542;3151;2820;4443;3269;7124;7708;12949;9529;7997;6441;6789;3442;3415;3322
11C0106: Castelo de Paiva;3794;3436;1644;548;774;2859;2852;3579;4853;5747;4700;3753;4014;3016;2503;2049;1879;2373;2243;3650;3796;5498;4691;4079;3389;3191;1804;2023;1848;2375;1889;3540;3964;5685;4541;3505;3954;3777;2340;2025;2062
11C0305: Celorico de Basto;2709;2624;1515;1048;1096;1748;1836;2647;3128;6807;3568;2285;2845;1492;1256;1265;904;1848;865;1650;2785;6684;4280;1985;1982;1768;819;1012;548;1230;755;1744;3178;7616;4815;3008;1745;1834;944;1073;975
11C1804: Cinfães;2029;1803;1508;1035;502;877;1019;1361;2469;4979;3090;2420;2173;1666;1290;1167;305;971;613;1645;2377;4649;3094;2022;1776;2084;1294;1027;352;848;548;1768;2481;4634;2966;2140;1647;1637;681;1048;406
11C1303: Felgueiras;3038;2634;1833;1515;1320;2156;2187;2361;3070;5355;4104;3221;2969;3039;2684;1820;1918;2396;2114;2592;3005;4939;3736;2867;3107;3006;1955;1743;1527;1651;1471;2053;2734;5449;3475;3197;2422;2243;1588;1279;1167
11C1305: Lousada;4263;3659;2455;2293;1816;1827;3436;3814;4015;5555;4743;3595;4222;2950;2885;2589;2423;2700;3020;3617;2006;3492;2756;1090;1947;2335;2002;1519;2672;2566;2092;3253;2534;3928;3318;2615;2543;2135;1599;1465;1812
11C1307: Marco de Canaveses;2161;1762;2130;1319;1016;1273;1027;1867;2703;5855;4064;2519;1940;1193;2136;1608;769;1173;892;1619;2105;4651;3021;1766;1261;1204;654;616;529;1038;682;1300;1904;4238;3502;1498;905;1024;494;372;380
11C1309: Paços de Ferreira;2911;1983;1619;1321;1034;1417;1693;2126;2475;3814;2652;2221;2262;1634;1466;1062;962;1101;1130;1777;2164;3095;2799;2136;2264;1794;1429;1133;1197;1246;1342;1635;2171;2835;1948;1624;1594;1552;1227;1215;1122
11C1311: Penafiel;8353;7389;5549;4482;4222;5022;6021;6526;6674;14213;10248;8616;7241;7897;6316;4653;4228;5605;4811;7561;9765;13955;10545;7634;6796;6681;4623;3969;3167;4668;4369;8552;10629;12783;10448;7579;7535;6329;3821;3642;2713
11C1813: Resende;2100;1942;1142;1111;829;853;945;1598;2644;4715;2699;2097;1969;1539;1059;850;546;910;849;1688;3222;4477;2882;1751;1593;1769;765;971;640;902;657;1664;2138;4524;2594;1858;1330;1289;1030;909;425
11D: Douro;71868;54663;39648;27170;19074;28310;39955;66116;82485;98133;70759;64177;66959;49604;36237;27373;17425;28950;31046;63188;81287;92071;69259;61908;60899;56153;30861;25993;18769;28297;30592;61117;74131;95181;69380;59850;56703;49505;27441;23128;14131
11D1701: Alijó;7339;5396;3333;1299;1153;2157;3129;6481;8762;8076;6070;5607;6001;4309;2680;1444;779;1524;2168;5675;7345;7355;5541;5460;4846;4213;2355;1613;1196;1583;2640;5441;5813;6759;5485;4909;4737;3753;2054;1416;797
11D1801: Armamar;5685;3561;2852;1134;502;1506;2133;5052;6210;7302;5025;4424;3949;2756;1747;994;554;1719;1481;3582;4987;4141;4203;3753;3865;3125;1345;1166;481;1410;1459;3133;4178;4663;3667;3347;3415;2599;536;239;238
11D0403: Carrazeda de Ansiães;761;596;338;340;206;483;607;977;1113;2749;2321;1302;1094;698;330;407;240;484;523;754;1539;2772;1953;1131;1280;1069;851;590;471;992;319;1421;1773;3468;2024;1398;1055;941;433;374;47
11D0404: Freixo de Espada à Cinta;1741;1679;1594;1166;837;1154;1204;1731;2388;3627;2358;2161;? ?;2123;1656;1135;716;1050;947;1629;2034;3402;2242;1621;1223;2044;1063;1074;687;1001;804;1581;1889;3974;1757;1468;1040;1784;1104;975;433
11D1805: Lamego;18455;14472;11416;7555;5205;8044;11256;17541;21381;21948;17956;17546;18357;13217;10400;8054;5335;8167;9895;17392;20612;20269;17772;17357;17860;15200;8947;7164;4537;8114;8981;17292;20059;22344;18206;16332;16595;13138;8247;6897;4367
11D1704: Mesão Frio;3065;3074;1956;1241;991;1212;2260;2673;3253;5140;3445;2994;3171;2587;2089;1712;1362;1297;1773;2805;3410;4923;3565;2527;2837;2535;1287;1474;1141;1559;1794;2653;3262;4632;3127;2614;2620;2644;816;1387;1174
11D1807: Moimenta da Beira;467;? ?;419;301;? ?;320;413;305;543;1221;845;751;632;? ?;? ?;? ?;? ?;307;342;? ?;? ?;963;701;? ?;372;473;333;315;366;279;? ?;? ?;505;882;676;340;321;299;? ?;? ?;118
11D1707: Murça;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;129;? ?;? ?;? ?;188;261;? ?;? ?;229;? ?;? ?;347;? ?;? ?;190;209;456;? ?;? ?;? ?;? ?;? ?;? ?;218;? ?;? ?
11D1812: Penedono;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?
11D1708: Peso da Régua;8536;6292;4965;3778;2818;3460;4868;7711;9259;10843;7342;6802;7648;5548;3614;2800;1926;3234;3209;7120;9096;9774;7665;6728;6913;6566;3595;2704;2054;3335;3321;6965;9329;11365;7442;6691;6749;5486;3238;2434;1735
11D1710: Sabrosa;4494;3052;1298;472;432;458;1571;4088;4880;5349;4512;4380;4863;3157;1721;740;589;683;958;4684;5306;5208;4749;4641;4232;2951;1287;829;583;549;1265;3838;4334;4480;4379;3762;3797;2917;1268;442;568
11D1711: Santa Marta de Penaguião;964;668;209;123;139;318;217;760;1520;1857;1410;947;981;613;334;159;? ?;290;117;910;1576;1952;1118;794;639;552;120;72;916;1447;984;1257;1579;3318;1987;1570;1401;1285;384;366;52
11D1815: São João da Pesqueira;1856;1273;671;480;355;837;951;1719;1743;2342;2196;1719;1776;1399;857;? ?;? ?;603;828;1630;2028;2204;1649;1763;1444;1323;? ?;? ?;? ?;604;927;1766;2313;2714;2237;1962;1733;1452;799;688;237
11D1818: Sernancelhe;1120;832;948;975;392;735;1010;1461;1527;2354;1510;1439;1605;1342;1139;632;643;1240;869;1466;1872;2796;1656;1355;1346;1386;648;842;614;597;559;993;1301;2388;1734;1242;756;1113;368;694;461
11D1819: Tabuaço;3796;2431;1352;723;462;549;1091;2770;4279;3749;2229;2894;3036;1748;1112;928;488;825;893;2758;4824;3997;2637;2735;3163;2652;1144;772;519;737;1087;2993;4117;4839;3290;3247;3215;2796;761;788;284
11D1820: Tarouca;1549;1423;1176;978;852;881;1052;1461;2108;3803;2350;842;1782;1432;1106;1044;716;1355;753;1485;2077;3547;2242;1597;1211;1522;915;1023;657;? ?;? ?;1473;2034;2902;1621;1296;992;1177;765;687;423
11D0409: Torre de Moncorvo;1815;1439;1171;750;612;751;1049;1357;1326;2177;1728;1645;1364;1049;962;819;621;520;517;1676;1205;2146;1320;898;1082;1458;787;671;680;464;874;1067;1418;2212;1556;1092;1086;1421;805;659;399
11D0914: Vila Nova de Foz Côa;1432;1193;821;658;382;633;1067;1694;1753;2409;1623;1291;1276;1043;1009;732;200;873;767;1400;1985;2529;1585;1405;1593;1554;1041;1042;500;742;628;1122;1462;1995;1301;1283;910;983;771;576;225
11D1714: Vila Real;8451;6745;4780;4819;3208;4504;5413;7897;10157;12423;7555;7182;7105;6158;4905;4846;2475;4545;4722;7286;10297;13457;8388;7224;6680;7220;3968;4022;2999;3789;3842;7105;8111;11566;8367;6925;5986;5463;4435;3862;2182
11E: Terras de Trás-os-Montes;23366;24755;20030;16114;13402;18322;18481;23481;27284;50977;31434;24620;23029;19217;18572;17298;13841;19201;15899;23632;26866;48292;29836;22409;21844;25619;16733;16772;12031;16730;14790;22259;25369;43305;28257;22904;19892;23623;16084;14495;9457
11E0401: Alfândega da Fé;1088;938;1251;693;588;686;789;1059;1180;2206;1501;1388;1136;1034;844;857;499;737;613;1049;1135;2051;1317;1121;898;1186;647;717;492;636;? ?;844;959;1699;688;810;578;827;547;? ?;? ?
11E0402: Bragança;12194;12506;9325;7201;6798;9647;8640;11032;13881;22455;14356;11335;11201;9575;9043;8323;7301;10521;8166;11189;12533;19960;13099;9738;10780;12040;6960;7536;5628;7814;7190;9561;10439;15547;10459;9654;9016;10270;6164;6247;4283
11E0405: Macedo de Cavaleiros;1367;1539;1517;1733;979;870;1385;1689;1287;4601;2669;1218;1164;612;592;806;724;1696;1173;1675;1541;3776;2057;1536;882;986;640;923;524;1327;1273;1788;2064;3776;2479;2064;1549;1660;1196;1121;540
11E0406: Miranda do Douro;2402;3390;1825;1351;981;1685;1993;2837;3892;6253;3364;3048;2781;2095;2227;1725;1336;1634;1604;3145;4077;6555;3654;3201;3275;4033;2090;1700;1372;1461;1463;2995;3360;6296;3601;3061;2586;3422;1866;1382;883
11E0407: Mirandela;3496;3697;3770;2859;2026;2666;3232;3845;4513;8673;5398;4860;3752;3663;3795;3768;2552;2516;2718;3631;4612;8372;4992;3895;3657;3977;4322;3524;2493;3097;2822;4341;5239;9216;5993;4198;3498;4495;3949;3500;2183
11E0408: Mogadouro;996;1086;897;668;827;1136;1035;1012;867;2342;1207;1124;1142;948;1038;744;690;989;847;1186;1195;2398;1645;1255;1037;1468;849;799;524;735;? ?;1000;1068;1985;2024;1104;1060;1171;817;666;? ?
11E0410: Vila Flor;408;432;411;369;251;187;317;356;715;2134;1067;568;400;303;326;386;114;288;297;776;843;2339;1329;705;497;685;616;550;532;885;361;577;986;1861;945;530;425;392;311;? ?;? ?
11E0411: Vimioso;397;407;352;308;247;329;276;438;222;938;305;264;287;214;128;203;? ?;233;144;427;299;803;276;295;268;452;169;194;123;240;197;371;330;808;319;394;308;357;151;145;67
11E0412: Vinhais;1018;760;682;932;705;1116;814;1213;727;1375;1567;815;1166;773;579;486;? ?;587;337;554;631;2038;1467;663;550;792;440;829;343;535;337;782;924;2117;1749;1089;872;1029;1083;466;546
19: Centro;465905;444209;362124;289791;279254;335782;358971;433344;519679;772928;539190;444805;441230;382340;371225;299112;264185;338832;290132;405617;491913;731498;536406;417683;407871;419235;300062;292202;255478;297973;279577;387466;456063;726090;537193;414330;375656;388622;271186;246366;195915
191: Região de Aveiro;86778;78343;61342;43472;42688;58257;63033;74176;90184;139709;107891;83516;85760;71501;68398;49914;42525;61388;54306;80277;92602;133874;106776;80898;80724;84426;58803;49298;45073;57409;54478;78493;93367;133600;110147;79996;74752;73187;48182;44671;33037
1910101: Águeda;4255;4529;3807;3535;3831;6566;5348;4444;3776;9600;7364;7246;6539;4745;4516;3824;4747;7237;5650;7829;6504;11126;9881;6603;7017;7262;6596;5893;6281;8101;8046;8296;8910;11776;9859;5361;5850;3747;3586;3684;2878
1910102: Albergaria-a-Velha;2445;1850;1379;1478;1915;2031;1879;2064;2541;4086;2620;1788;2059;1471;1489;1037;1197;2183;1461;1877;1856;3179;2165;1609;1869;2041;1325;1200;1403;1405;1377;1838;1885;4079;2815;2085;1989;1614;1374;1302;1261
1910103: Anadia;8206;5661;4349;4246;3599;5094;5369;6128;7573;13804;8810;7486;8319;5917;6543;3876;2447;4834;3221;6092;5941;13809;10381;6823;7135;6545;4584;2941;3345;3995;3644;6042;9260;13836;11765;6595;5872;6470;2934;1875;1671
1910105: Aveiro;42373;40713;30944;20027;20790;28956;30613;38117;44982;63348;50630;38439;39936;36782;34694;25130;21040;28493;27048;38474;44719;57517;46900;37091;37835;40508;28059;23916;20822;26287;25538;36984;41790;56216;47590;37048;35957;35972;24636;21752;15135
1910108: Estarreja;2432;1992;2243;? ?;? ?;1062;1777;2105;2117;3455;2698;1991;? ?;? ?;? ?;1153;? ?;1413;1606;1949;2416;3232;2705;1951;1994;2142;1413;1413;903;1353;1382;1648;2125;3709;2765;1606;1610;1810;1377;1711;1057
1910110: Ílhavo;9073;9118;6675;5231;5008;6053;6514;7315;10445;16946;12822;9198;8675;7318;7117;5562;5524;6526;5187;7795;10618;15176;11842;8592;7355;9421;4972;5457;4295;5497;4668;7777;10551;14699;11642;8518;6962;8138;4178;4855;3492
1910112: Murtosa;1748;1520;1321;? ?;? ?;819;1335;1618;2082;3985;? ?;1934;2961;1408;976;242;? ?;1238;1112;1914;2788;3224;2509;1874;1968;2035;1060;682;105;1098;872;1711;2403;3216;3637;2484;2236;1976;846;458;222
1910114: Oliveira do Bairro;1375;1277;639;? ?;431;687;793;970;1004;1615;? ?;1338;? ?;? ?;? ?;883;? ?;1087;596;938;839;1546;1531;1105;1183;955;805;699;925;745;574;894;985;1513;1809;1182;1161;1240;724;806;768
1910115: Ovar;12084;9101;8694;5281;4709;5503;7757;9091;11937;13864;13278;9981;10660;8626;7838;5970;4155;6508;6369;10209;12628;16735;13232;11134;10483;9350;7313;4857;4297;6308;5816;9911;11636;16138;12837;11541;10297;8597;6250;6193;4666
1910117: Sever do Vouga;1254;1222;601;372;773;714;729;735;1330;4540;1841;1623;1132;695;452;363;331;665;326;1024;1446;3769;2237;1747;1005;1465;673;396;538;770;603;1037;1746;4266;2365;1531;1034;1291;466;583;546
1910118: Vagos;1533;1360;690;784;427;772;919;1589;2397;4466;3144;2492;2193;2064;2008;1874;1615;1204;1730;2176;2847;4561;3393;2369;2880;2702;2003;1844;2159;1850;1958;2355;2076;4152;3063;2045;1784;2332;1811;1452;1341
192: Região de Coimbra;156819;146034;105556;82476;77897;97005;106914;147187;179960;249799;186548;152380;148687;122845;110271;84787;75875;94310;85823;130978;166383;241842;183572;138962;146740;138579;95605;82990;72397;85629;85440;125406;152916;241425;186590;141903;126649;128403;83417;72672;51607
1920601: Arganil;2550;2680;1605;1168;1601;1895;1989;1976;2792;5677;3405;2491;2428;2136;1714;1673;1505;2054;1480;2465;3083;5002;2753;2304;2458;2805;1963;2169;1741;2264;1652;2525;3372;6062;3264;3230;2558;2806;1914;1717;1361
1920602: Cantanhede;3213;2887;2878;2277;1744;2214;2638;3217;3492;5058;4933;2961;3285;2506;2920;1732;2088;2158;1774;2858;3872;5647;4336;4819;4334;3528;3250;1702;1659;1769;1732;2665;2658;4421;4970;4033;3437;3007;2498;? ?;? ?
1920603: Coimbra;72207;64426;48806;36468;35248;43726;50007;68343;76538;79476;67580;66507;71980;59188;52147;37198;36649;45329;43691;64187;74392;80188;66627;59378;72001;60917;44573;35334;36892;43159;45160;65033;70444;82175;68094;60837;63443;57879;40662;31593;23667
1920604: Condeixa-a-Nova;1989;1877;1390;1265;1418;1532;1627;1749;1834;? ?;1188;1266;1291;? ?;? ?;839;? ?;1349;985;1043;1352;1866;1264;1014;? ?;1783;? ?;1086;779;? ?;? ?;1296;1100;2094;1208;906;1161;936;518;650;173
1920605: Figueira da Foz;34107;28826;21094;16638;15316;18541;20323;32294;43358;63357;48481;34282;29958;24862;19041;17528;13796;14955;16031;27216;38395;63941;49808;33653;29478;32771;19592;18058;12925;14761;15682;23474;35651;66214;52559;35000;26058;26179;14631;14598;8913
1920606: Góis;1025;1055;514;574;509;617;594;896;1198;2928;1796;1299;983;554;619;477;288;547;386;685;1146;2342;1862;961;1084;899;752;536;451;821;589;852;1216;2315;1824;1165;724;1183;582;384;118
1920607: Lousã;3588;3737;3234;2189;2274;3093;2856;3572;4142;6152;4722;3678;3776;3342;2767;2666;1984;3153;2286;3236;4263;5787;4172;3291;3791;4053;2407;2391;1918;2410;2275;3110;3307;5039;3526;2446;2724;2828;1799;1918;1380
1920111: Mealhada;11223;9569;7558;6751;6457;7395;7996;9610;11058;16307;11955;11038;9504;7294;7244;6057;5308;6733;5983;7560;10063;13329;11011;8272;8374;8196;4928;5695;4690;5196;5152;8319;9516;15182;12336;9747;7257;7895;4570;4656;4265
1920608: Mira;6585;5332;2033;1018;838;1336;1433;4731;9083;17156;12437;6348;4649;3787;3660;1255;886;1364;762;5052;8103;16234;12797;6632;4841;5353;2189;1140;932;1016;899;3209;6903;14662;11273;6335;3448;3600;2221;1345;510
1920609: Miranda do Corvo;2522;2801;1935;1469;1780;2099;2039;2519;2294;3984;2032;2098;2067;1700;1532;1230;1157;1560;1308;2153;2213;3494;2495;2182;2299;2146;1530;1273;1165;1469;1437;1784;1794;3160;2943;2390;2406;2622;1618;1504;1212
1920610: Montemor-o-Velho;878;675;672;? ?;? ?;? ?;987;851;1343;? ?;1436;912;819;? ?;? ?;? ?;? ?;? ?;758;522;841;1251;1504;1058;? ?;968;? ?;? ?;? ?;? ?;? ?;591;1348;1267;2135;1257;1327;1451;1649;1537;1281
1921808: Mortágua;4776;9090;3995;3139;2556;3175;3826;5055;7989;16243;7434;4607;4263;3156;5311;3903;1763;2326;1615;2461;4373;13059;4786;2511;2941;2677;2996;2638;1075;1135;959;1693;3060;11750;5739;1309;1969;3842;2969;2930;746
1920611: Oliveira do Hospital;2488;3338;2651;2645;2216;3202;2178;2453;4139;8810;4530;3172;2637;2836;3252;2904;2472;3478;1622;2826;3552;7910;4735;2979;2572;3346;3007;3599;2487;3011;2679;2651;3240;7373;4253;3028;2191;3044;2050;2590;2222
1920612: Pampilhosa da Serra;486;421;418;409;402;695;655;807;598;1201;1031;733;849;521;481;545;623;656;491;686;636;1455;966;790;594;649;713;527;338;437;296;383;495;1373;1019;681;455;489;448;378;365
1920613: Penacova;1555;1496;996;829;771;923;1075;1146;1477;2688;1838;1401;1364;1146;996;790;813;842;843;1113;1484;2864;2254;1474;1728;1359;785;1129;964;901;960;1176;1364;1988;1421;1091;1049;858;693;864;510
1920614: Penela;2179;2044;1574;1105;958;1588;1854;1867;1440;4079;3073;2704;2662;2243;2023;1980;1331;2089;2036;2256;2303;4361;3051;2544;2259;2139;1407;1543;938;2008;1217;2160;2169;4637;2229;2563;1946;2467;1647;1600;1524
1920615: Soure;1692;1519;1023;981;940;1057;1722;2192;2406;4223;2784;1998;2595;1958;1310;907;1181;1720;1263;1603;1955;4800;3953;3038;2336;1918;1538;1190;861;1327;1367;1371;992;3742;2140;2504;1357;3726;907;? ?;? ?
1920616: Tábua;3468;3954;3003;2602;2410;3238;2805;3489;4327;8260;5585;4486;3211;3118;3093;2349;2411;3156;2067;2778;4021;7211;4618;1761;2989;2732;1719;2017;1827;2352;1595;2841;3882;7002;5103;2636;2590;3300;1757;1954;1896
1920617: Vila Nova de Poiares;288;307;177;? ?;? ?;? ?;310;420;452;740;308;399;366;225;182;? ?;? ?;? ?;442;278;336;1101;580;301;339;340;407;? ?;? ?;? ?;398;273;405;969;554;745;549;291;284;145;? ?
193: Região de Leiria;65880;56600;42499;35589;35016;39138;44221;55532;70585;103138;70861;55226;57246;43773;41000;32316;31931;38803;34776;51147;62563;96705;70462;49862;50775;45941;36250;30368;30418;33239;35757;47338;58267;101778;69570;52539;50219;43932;30530;27217;20999
1931002: Alvaiázere;504;349;249;114;176;? ?;? ?;374;580;1022;1049;750;575;? ?;? ?;? ?;? ?;? ?;? ?;270;526;785;708;499;524;490;273;? ?;? ?;? ?;? ?;306;562;1263;780;493;548;246;? ?;? ?;? ?
1931003: Ansião;1021;865;638;350;292;376;515;708;925;1882;1143;1359;1310;971;937;929;1137;1214;1034;1127;1330;1711;1230;705;885;713;428;367;340;378;385;609;829;1448;1184;1492;1100;1390;952;747;303
1931004: Batalha;5799;4958;4568;3859;3541;3735;4806;6038;6977;9542;5931;4718;6129;4641;3942;3573;3342;4254;3979;5735;6918;9697;5375;4967;5512;4318;3865;3107;3088;2703;3967;4853;5542;10207;5332;5038;4824;4545;2829;2869;1588
1931007: Castanheira de Pêra;488;413;? ?;? ?;219;425;318;492;811;1822;1278;693;443;? ?;? ?;174;? ?;? ?;? ?;244;540;1713;1226;444;315;386;? ?;192;168;? ?;174;365;615;2140;1112;709;340;336;? ?;50;86
1931008: Figueiró dos Vinhos;874;861;734;589;523;544;684;803;1198;2298;1639;1250;978;686;706;502;529;514;482;833;1084;2169;1485;1026;920;1172;778;732;778;558;417;582;1051;2202;1387;1112;917;971;1033;724;510
1931009: Leiria;34347;28909;22278;19374;20730;21074;24273;29947;38761;49969;33744;26765;30670;22803;21217;17224;17880;21271;19663;28047;31839;45888;34447;24426;27080;22708;18862;15451;17112;18918;20200;26182;30313;47833;33027;25285;28715;22654;16586;14517;12716
