;Maio de 2025;Abril de 2025;Março de 2025;Fevereiro de 2025;Janeiro de 2025;Dezembro de 2024;Novembro de 2024;Outubro de 2024;Setembro de 2024;Agosto de 2024;Julho de 2024;Junho de 2024;Maio de 2024;Abril de 2024;Março de 2024;Fevereiro de 2024;Janeiro de 2024;Dezembro de 2023;Novembro de 2023;Outubro de 2023;Setembro de 2023;Agosto de 2023;Julho de 2023;Junho de 2023;Maio de 2023;Abril de 2023;Março de 2023;Fevereiro de 2023;Janeiro de 2023;Dezembro de 2022;Novembro de 2022;Outubro de 2022;Setembro de 2022;Agosto de 2022;Julho de 2022;Junho de 2022;Maio de 2022;Abril de 2022;Março de 2022;Fevereiro de 2022;Janeiro de 2022
;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º 
2004603: São Roque do Pico;2764;2343;973;454;391;451;1139;2269;4984;7131;6358;4350;3046;1927;979;477;349;156;775;2128;4215;6469;5150;3476;2317;1639;370;367;253;165;423;1053;2993;5204;4827;2727;1365;1226;363;449;258
2004502: Velas;6544;4573;2450;1731;? ?;973;2021;4373;7743;11248;9894;7586;5838;3563;1994;1074;1165;776;1590;3794;6974;10773;9283;6692;4487;2484;1332;1052;929;988;2145;3193;6056;9057;8373;5602;3248;1385;1271;824;628
2004302: Vila da Praia da Vitória;8524;7750;6765;4421;3631;3165;6092;7920;10496;14909;13556;10927;8035;6248;6117;4645;3762;3366;4726;7118;10484;14548;13586;11533;8692;7993;5805;4107;4344;3631;3851;6860;8639;13873;12382;9107;6441;5732;5012;3698;3715
2004101: Vila do Porto;4059;2486;1746;1240;858;725;1414;3417;7696;9542;8227;4493;4354;2577;2319;1649;? ?;1028;1557;3198;6799;9280;7549;4393;3012;2100;1917;1229;825;? ?;1556;2935;5824;7096;6470;3651;2419;1131;926;? ?;506
2004206: Vila Franca do Campo;9571;5813;3851;? ?;1342;1314;533;6837;10271;11877;10278;8551;6330;5053;3897;2210;1318;1969;2271;5367;9509;12272;11689;8813;6801;4671;2499;2161;1608;3933;1849;4337;9536;11482;11133;8155;4972;4466;2807;2440;1270
3: Região Autónoma da Madeira;897010;843616;783142;671775;630989;635217;727282;852994;884763;980656;938355;858298;861570;784874;763650;649912;576740;583635;677429;829136;876902;982207;926285;827025;814937;787942;731700;615367;591405;573340;635918;782971;833578;977217;916058;822591;779420;735252;579890;396171;348127
30: Região Autónoma da Madeira;897010;843616;783142;671775;630989;635217;727282;852994;884763;980656;938355;858298;861570;784874;763650;649912;576740;583635;677429;829136;876902;982207;926285;827025;814937;787942;731700;615367;591405;573340;635918;782971;833578;977217;916058;822591;779420;735252;579890;396171;348127
300: Região Autónoma da Madeira;897010;843616;783142;671775;630989;635217;727282;852994;884763;980656;938355;858298;861570;784874;763650;649912;576740;583635;677429;829136;876902;982207;926285;827025;814937;787942;731700;615367;591405;573340;635918;782971;833578;977217;916058;822591;779420;735252;579890;396171;348127
3003101: Calheta (R.A.M.);41857;42241;33599;30756;26087;26532;34154;40295;42105;46943;45117;41000;41527;39835;36121;27189;21342;20171;30127;35541;38580;43453;42718;36909;38003;38130;33176;23484;25751;21854;27694;32770;33858;41567;39401;34572;34321;35578;27854;21463;16432
3003102: Câmara de Lobos;21569;21454;20866;17143;14761;11825;15011;20838;21763;25398;23891;19130;21303;18430;18550;16513;12060;10480;13112;18841;21767;26118;23207;19208;20356;20064;19209;16014;11058;11009;11699;16622;21170;25139;20951;17466;17962;17914;11179;7847;7839
3003103: Funchal;564909;538020;511001;453063;433815;432357;479661;555397;568362;624620;593400;548250;561758;526996;515067;456894;418762;410831;469517;549233;560757;619778;585785;530452;535117;524017;491239;427652;425801;416311;453266;530347;544976;627223;590630;535450;527877;520724;427446;300312;260286
3003104: Machico;40823;38323;36817;30612;26065;28658;32833;18923;19824;21667;21743;20778;20303;16914;16746;13279;7850;12678;13529;13508;15721;17453;16171;15023;16419;13865;16167;12805;11669;10708;11049;14607;15207;16972;16084;15746;16103;13815;7363;2712;3178
3003105: Ponta do Sol;9780;9389;8761;6959;7726;8271;8686;9940;9789;10564;10430;10026;10104;9232;9542;7904;8104;7384;7992;8877;8979;9753;9539;8548;8987;8806;9031;7569;7940;7034;7518;8269;7786;9339;9139;8004;8675;8573;7809;5788;5143
3003106: Porto Moniz;11688;11064;8467;7085;7491;7883;8947;10300;10749;11508;10905;8857;9528;8995;7584;6347;7137;7416;7750;8869;9370;9561;9641;7372;7651;7999;7599;6786;6492;5908;6206;7346;7833;8794;8156;7386;7640;7333;5481;4377;4496
3003107: Ribeira Brava;11418;10068;8480;5875;4432;5380;6143;8282;10234;10021;9652;9834;10642;8990;7560;5445;4349;5562;5387;8136;10266;10149;9079;8129;7494;6856;6435;5042;4018;4106;4021;5226;6117;6938;6746;6025;6281;6165;3830;1915;1724
3003108: Santa Cruz;105660;105677;99846;80615;75023;77381;89686;99610;101819;115151;111243;98860;101864;94762;95080;74115;64135;73312;84047;101198;105218;122010;116776;101451;102138;97447;94626;78828;69249;66752;73454;88347;96775;114822;106370;95124;93231;70458;50530;30070;29999
3003109: Santana;17043;15684;13544;10100;8788;9501;11975;15202;15200;16152;16907;14117;15768;15110;13963;10078;8327;8471;10605;13407;14421;15833;15372;13773;14933;14752;14466;11376;8385;8765;9092;11427;12987;14485;14131;12963;13422;13324;8701;5557;4747
3003110: São Vicente;23335;22079;20144;15084;13880;14041;15661;18775;21013;23750;24737;21840;20167;18890;18458;15470;12831;12646;14413;18234;21354;22877;21896;18670;19716;17737;16673;13909;11679;10558;12254;17223;18536;21566;21375;16736;17709;15312;10994;7204;6829
3003201: Porto Santo;48928;29617;21617;14483;12921;13388;24525;55432;63905;74882;70330;65606;48606;26720;24979;16678;11843;14684;20950;53292;70469;85222;76101;67490;44123;38269;23079;11902;9363;10335;19665;50787;68333;90372;83075;73119;36199;26056;18703;8926;7454
