;Junho de 2025;Maio de 2025;Abril de 2025;Março de 2025;Fevereiro de 2025;Janeiro de 2025;Dezembro de 2024;Novembro de 2024;Outubro de 2024;Setembro de 2024;Agosto de 2024;Julho de 2024;Junho de 2024;Maio de 2024;Abril de 2024;Março de 2024;Fevereiro de 2024;Janeiro de 2024;Dezembro de 2023;Novembro de 2023;Outubro de 2023;Setembro de 2023;Agosto de 2023;Julho de 2023;Junho de 2023;Maio de 2023;Abril de 2023;Março de 2023;Fevereiro de 2023;Janeiro de 2023;Dezembro de 2022;Novembro de 2022;Outubro de 2022;Setembro de 2022;Agosto de 2022;Julho de 2022;Junho de 2022;Maio de 2022;Abril de 2022;Março de 2022;Fevereiro de 2022;Janeiro de 2022
1: Continente;6833919;6586848;6016288;4587854;3376573;2938793;3420168;4134260;6443001;7193180;9113604;7708578;6636194;6527379;5520653;4785232;3510393;2787371;3367287;3764453;6307940;7030094;8755968;7515345;6319205;6074077;5825349;4188649;3294678;2749783;3055572;3492098;5770680;6560686;8612450;7402468;6072800;5488565;5075227;3297815;2442312;1585554
2: Região Autónoma dos Açores;345678;318234;270825;192685;125431;99768;96101;153609;274234;364835;444043;402681;334133;300544;236424;181626;118865;89181;94169;132406;246951;331583;408383;374855;310493;255567;224318;164943;105640;93044;98854;124001;236420;297011;369542;347363;285461;231204;189483;134827;83594;60271
3: Região Autónoma da Madeira;903695;899263;843616;783142;671775;630989;635217;727282;852994;884763;980656;938355;858298;861570;784874;763650;649912;576740;583635;677429;829136;876902;982207;926285;827025;814937;787942;731700;615367;591405;573340;635918;782971;833578;977217;916058;822591;779420;735252;579890;396171;348127
